"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Indian Oil Corporation",81,"Other","New Delhi",10.3089526606443,302,4.4,3400,0.076
"KPIT Technologies",24,"Software Product","Pune",10.3089526606443,42,3,3400,0.221
"Ipca Laboratories",78,"Pharma","Mumbai",10.3089526606443,154,3.9,3400,0.115
"Reliance Projects & Property Management Services",20,"IT Services & Consulting","Other",10.3089526606443,600,4,3400,0.07
"NTT DATA, Inc.",23,"IT Services & Consulting","Bangalore / Bengaluru",8.9226582995244,32,3.9,3300,0.213
"Johnson Controls",18,"Other","Pune",8.00636756765025,54,3.5,3300,0.166
"Alkem Laboratories",79,"Pharma","Mumbai",8.00636756765025,192,3.9,3300,0.095
"MRF Tyres",17,"Auto Components","Chennai",8.9226582995244,191,3.6,3300,0.122
"Reliance Digital",19,"Other","Mumbai",8.9226582995244,369,4.1,3300,0.079
"IGT Solutions",64,"IT Services & Consulting","New Delhi",8.00636756765025,48,3.3,3300,0.132
"Ford Motor",66,"Other","Chennai",8.9226582995244,128,4.2,3300,0.147
"Honda Motorcycle & Scooter",29,"Other","Other",10.3089526606443,287,4.1,3300,0.107
"UBS",23,"Financial Services","Pune",10.3089526606443,19,3.9,3300,0.307
"Vishal Mega Mart",13,"Other","New Delhi",8.00636756765025,363,3.7,3300,0.061
"24/7 Customer",140,"Software Product","Bangalore / Bengaluru",8.9226582995244,36,3.4,3200,0.114
"Hindustan Coca Cola Beverages",7,"Other","Bangalore / Bengaluru",8.9226582995244,253,4,3200,0.075
"Ceat Tyres",50,"Auto Components","Other",8.00636756765025,137,3.9,3200,0.125
"Reliance Nippon Life Insurance",19,"Other","Mumbai",10.3089526606443,477,3.4,3200,0.083
"DTDC Express",33,"Other","New Delhi",8.9226582995244,264,3.7,3200,0.083
"HARMAN",23,"Other","Bangalore / Bengaluru",8.9226582995244,38,3.8,3200,0.239
"ABB",88,"Industrial Machinery","Bangalore / Bengaluru",8.9226582995244,106,4.1,3200,0.169
"ArcelorMittal Nippon Steel",29,"Other","Other",10.3089526606443,82,4.1,3200,0.111
"Indian Air Force",15,"Other","New Delhi",8.9226582995244,131,4.6,3200,0.051
"NatWest Group",19,"Other","Other",8.9226582995244,27,4,3100,0.202
"PhonePe",12,"Other","Bangalore / Bengaluru",8.00636756765025,367,4,3100,0.12
"RSPL Group",NA,"Other","Other",8.9226582995244,246,4.1,3100,0.093
"UNO Minda",17,"Auto Components","Pune",8.00636756765025,105,4,3100,0.105
"Barclays",14,"Other","Pune",8.9226582995244,36,3.7,3100,0.293
"Marpu Foundation",35,"Other","Other",11.9183905730784,58,4.8,3100,0.00055
"InterGlobe Aviation",34,"Other","New Delhi",8.9226582995244,100,3.5,3100,0.133
"GeBBS Healthcare Solutions",55,"Healthcare","Mumbai",8.9226582995244,26,3.7,3100,0.112
