"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Bsr Infratech India",64,"Engineering & Construction","Bangalore / Bengaluru",5.85936070647464,2.484906649788,3.8,5.25227342804663,-4.8024023555178
"Rajesh Motors",76,"Other","Other",8.00636756765025,3.29583686600433,3.7,5.24702407216049,-5.08805644106484
"Videojet Technologies",23,"Other","Mumbai",8.00636756765025,3.13549421592915,3.9,5.24702407216049,-4.91851200522045
"Vijay Tanks & Vessels",22,"Engineering & Construction","Other",6.62073965107352,2.99573227355399,4.1,5.24702407216049,-4.94344404455593
"Dhampur Sugar Mills",15,"Other","New Delhi",8.9226582995244,2.70805020110221,3.9,5.25227342804663,-4.95189479907366
"Kh Exports",31,"Other","Chennai",NA,1.94591014905531,3.7,5.24702407216049,-4.83081686752042
"Infiiloom",41,"Other","Pune",5.85936070647464,2.63905732961526,3.1,5.24702407216049,-4.85235031513054
"Oasis Partners Asia",NA,"Other","New Delhi",4.83230575857184,4.40671924726425,3.8,5.24702407216049,-4.94766049493487
"TATA MEDICAL CENTER",18,"Healthcare","Other",5.85936070647464,1.6094379124341,3.8,5.24702407216049,-5.16728910414163
"AONE OUTSOURCING SOLUTIONS",30,"Financial Services","Other",4.83230575857184,1.94591014905531,4.7,5.24702407216049,-5.92193848445937
"Ministry of Home Affairs",77,"Other","New Delhi",5.85936070647464,3.36729582998647,4.2,5.24174701505964,-3.91202300542815
"Jasmin Infotech",29,"Other","Chennai",5.85936070647464,0.693147180559945,3.9,5.24174701505964,-4.19970507787993
"Lakshmi Life Sciences",61,"Other","Other",8.00636756765025,1.6094379124341,4,5.24702407216049,-4.61219480092506
"Knoldus Inc",35,"IT Services & Consulting","Other",5.85936070647464,1.09861228866811,3.8,5.24174701505964,-5.2648825904618
"M*Modal",29,"IT Services & Consulting","Bangalore / Bengaluru",4.83230575857184,2.30258509299405,3.6,5.24174701505964,-5.34331473247877
"HeyCoach",21,"Education & Training","Bangalore / Bengaluru",5.85936070647464,1.94591014905531,4,5.24174701505964,-6.29798970736124
"Rudrabhishek Enterprises",130,"Other","Other",6.62073965107352,3.40119738166216,3.5,5.24174701505964,-4.89686027983741
"Bharat Broadband Network",27,"Other","New Delhi",6.62073965107352,4.23410650459726,3.8,5.24174701505964,-4.85877294478701
"NGK Spark Plugs",64,"Auto Components","Other",5.85936070647464,2.89037175789616,4.1,5.24174701505964,-4.91577976308358
"Heads Up For Tails",23,"Other","Other",5.85936070647464,2.99573227355399,3.7,5.24174701505964,-4.77952357313287
"Arvind Techno Engineers",41,"Engineering & Construction","New Delhi",5.85936070647464,3.46573590279973,4.1,5.24174701505964,-4.93228632768528
"Skypro Technologies",45,"IT Services & Consulting","Bangalore / Bengaluru",NA,3.49650756146648,3.5,5.24174701505964,-4.98204783724434
"Enmas O & M Services",38,"Other","Chennai",8.00636756765025,3.3322045101752,4.1,5.24174701505964,-5.06403607082337
"Ileads Auxiliary Services",72,"Other","Other",5.85936070647464,2.39789527279837,3.1,5.24174701505964,-5.11599580975408
"Saudi Electricity Company",31,"Other","Other",6.62073965107352,2.99573227355399,4.2,5.24174701505964,-5.62404750663735
"Pilot Industries",14,"Other","New Delhi",4.83230575857184,2.99573227355399,3.7,5.24174701505964,-4.69072807434974
"Mining Engineering Services",25,"Other","Other",6.62073965107352,2.63905732961526,3.5,5.24174701505964,-5.20300718674371
"S.S. Kothari Mehta & Co",18,"Other","New Delhi",4.83230575857184,1.79175946922805,3.5,5.24174701505964,-4.85107072442492
"Emami Frank Ross",8,"Other","Other",6.62073965107352,2.94443897916644,3.7,5.24174701505964,-5.01917162511854
"Advids",5,"Other","Pune",6.62073965107352,2.484906649788,3.7,5.24174701505964,-5.78282568199665
