"YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE","logPACKAGE","logREVIEWS","logRATING","logBRANCHES"
25,"Engineering & Construction","Other",6.62073965107352,8,4,110,0.00449,-5.40590257722797,4.70048036579242,1.38629436111989,2.07944154167984
29,"Other","Mumbai",6.62073965107352,8,3.8,110,0.00525,-5.24952720237861,4.70048036579242,1.33500106673234,2.07944154167984
50,"IT Services & Consulting","Other",8.00636756765025,5,3.2,110,0.00665,-5.01313842431437,4.70048036579242,1.16315080980568,1.6094379124341
15,"Other","Other",5.85936070647464,5,3.1,110,0.00586,-5.13960567539322,4.70048036579242,1.1314021114911,1.6094379124341
42,NA,"Other",4.83230575857184,NA,3.3,110,0.00493,-5.31241629092754,4.70048036579242,1.19392246847243,NA
25,NA,"Other",5.85936070647464,NA,4.3,110,0.00095,-6.95904857336969,4.70048036579242,1.45861502269952,NA
34,"Other","New Delhi",8.00636756765025,25,3.8,110,0.00279,-5.88171368314886,4.70048036579242,1.33500106673234,3.2188758248682
53,"Other","Chennai",5.85936070647464,5,2.6,110,0.00236,-6.04909365994462,4.70048036579242,0.955511445027436,1.6094379124341
14,"Engineering & Construction","New Delhi",4.83230575857184,13,3.3,110,0.00237,-6.0448653238351,4.70048036579242,1.19392246847243,2.56494935746154
25,"Other","Chennai",5.85936070647464,38,4.4,110,0.0029,-5.84304454198971,4.70048036579242,1.48160454092422,3.63758615972639
NA,"IT Services & Consulting","Other",4.83230575857184,3,4.9,110,4e-04,-7.82404601085629,4.70048036579242,1.58923520511658,1.09861228866811
NA,"IT Services & Consulting","Other",NA,6,4.4,109,0.00025,-8.29404964010203,4.69134788222914,1.48160454092422,1.79175946922805
23,"Other","Bangalore / Bengaluru",NA,7,3.4,109,0.00384,-5.5622829123825,4.69134788222914,1.22377543162212,1.94591014905531
34,"IT Services & Consulting","Other",8.00636756765025,3,3.6,109,0.00552,-5.19937741869313,4.69134788222914,1.28093384546206,1.09861228866811
152,"IT Services & Consulting","Chennai",10.3089526606443,23,3.4,109,0.00414,-5.48705949114491,4.69134788222914,1.22377543162212,3.13549421592915
9,"Software Product","Other",4.83230575857184,NA,3.9,109,0.00382,-5.56750485636365,4.69134788222914,1.3609765531356,NA
24,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,6,2.1,109,0.0061,-5.09946650780287,4.69134788222914,0.741937344729377,1.79175946922805
NA,"IT Services & Consulting","Other",8.00636756765025,2,3.6,109,0.0041,-5.49676830527187,4.69134788222914,1.28093384546206,0.693147180559945
NA,"Other","Other",NA,12,4,109,0.00448,-5.40813223255524,4.69134788222914,1.38629436111989,2.484906649788
33,"Other","Other",NA,3,3.8,109,0.00401,-5.51896403766366,4.69134788222914,1.33500106673234,1.09861228866811
24,"Other","Other",5.85936070647464,6,3.9,109,0.00426,-5.45848611870086,4.69134788222914,1.3609765531356,1.79175946922805
7,"Other","New Delhi",5.85936070647464,5,2.2,109,0.00425,-5.46083629604581,4.69134788222914,0.78845736036427,1.6094379124341
41,"Other","Chennai",4.83230575857184,24,4,109,0.0052,-5.25909665339476,4.69134788222914,1.38629436111989,3.17805383034795
6,"Software Product","Mumbai",6.62073965107352,6,3.5,109,0.00936,-4.67130998849264,4.69134788222914,1.25276296849537,1.79175946922805
44,"Other","Pune",8.00636756765025,7,3.6,109,0.00767,-4.87043866360297,4.69134788222914,1.28093384546206,1.94591014905531
57,"IT Services & Consulting","Other",5.85936070647464,3,3.6,109,0.00716,-4.93924529800958,4.69134788222914,1.28093384546206,1.09861228866811
NA,"Auto Components","Other",NA,6,3.9,109,0.00632,-5.06403607082337,4.69134788222914,1.3609765531356,1.79175946922805
53,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,16,4.2,109,0.00668,-5.00863729143358,4.69134788222914,1.43508452528932,2.77258872223978
30,"IT Services & Consulting","Other",6.62073965107352,9,3.6,109,0.00577,-5.15508319846213,4.69134788222914,1.28093384546206,2.19722457733622
152,"IT Services & Consulting","Other",10.3089526606443,1,3.9,109,0.00531,-5.23816344372829,4.69134788222914,1.3609765531356,0
NA,NA,"Other",4.83230575857184,NA,3.9,109,0.00568,-5.17080404624908,4.69134788222914,1.3609765531356,NA
NA,"Auto Components","Pune",NA,5,3.4,109,0.00517,-5.2648825904618,4.69134788222914,1.22377543162212,1.6094379124341
18,"IT Services & Consulting","Other",4.83230575857184,4,3.8,109,0.00522,-5.25525787708759,4.69134788222914,1.33500106673234,1.38629436111989
15,NA,"Other",8.00636756765025,NA,4.5,109,0.0049,-5.31852007386556,4.69134788222914,1.50407739677627,NA
14,"Other","Mumbai",5.85936070647464,21,3.3,109,0.00492,-5.31444674847792,4.69134788222914,1.19392246847243,3.04452243772342
27,"Other","New Delhi",5.85936070647464,17,3.1,109,0.00474,-5.35171814327515,4.69134788222914,1.1314021114911,2.83321334405622
26,"Other","Pune",NA,8,4.1,109,0.00477,-5.34540897408189,4.69134788222914,1.41098697371026,2.07944154167984
47,NA,"Other",4.83230575857184,NA,2.8,109,0.00903,-4.70720291155324,4.69134788222914,1.02961941718116,NA
NA,"Other","Other",6.62073965107352,12,4.3,109,0.00536,-5.22879130389943,4.69134788222914,1.45861502269952,2.484906649788
NA,"Internet","Bangalore / Bengaluru",NA,20,3.3,109,0.00469,-5.36232269652395,4.69134788222914,1.19392246847243,2.99573227355399
NA,"Other","Bangalore / Bengaluru",NA,7,3.6,109,0.00457,-5.38824207407602,4.69134788222914,1.28093384546206,1.94591014905531
NA,"Other","New Delhi",NA,4,3.7,109,0.00223,-6.10575369351011,4.69134788222914,1.30833281965018,1.38629436111989
NA,NA,"Other",11.9183905730784,NA,3.7,109,0.00223,-6.10575369351011,4.69134788222914,1.30833281965018,NA
NA,"Education & Training","Other",4.83230575857184,1,4.2,109,0.00225,-6.09682506276581,4.69134788222914,1.43508452528932,0
NA,"Software Product","Other",5.85936070647464,5,3.6,109,0.00193,-6.25023527606534,4.69134788222914,1.28093384546206,1.6094379124341
5,"Other","New Delhi",4.83230575857184,21,4.3,109,0.00189,-6.27117844991059,4.69134788222914,1.45861502269952,3.04452243772342
NA,"Engineering & Construction","Other",NA,9,3.2,109,0.00191,-6.2606520369236,4.69134788222914,1.16315080980568,2.19722457733622
14,"Other","Other",5.85936070647464,16,3.6,109,0.0062,-5.08320598693109,4.69134788222914,1.28093384546206,2.77258872223978
16,"Other","Mumbai",6.62073965107352,3,4,109,0.0057,-5.16728910414163,4.69134788222914,1.38629436111989,1.09861228866811
29,"Financial Services","New Delhi",5.85936070647464,25,3.6,109,0.00413,-5.4894778720092,4.69134788222914,1.28093384546206,3.2188758248682
29,"Other","Bangalore / Bengaluru",4.83230575857184,4,3.9,109,0.00776,-4.85877294478701,4.69134788222914,1.3609765531356,1.38629436111989
6,NA,"Other",5.85936070647464,NA,3.6,109,0.0094,-4.66704558970618,4.69134788222914,1.28093384546206,NA
49,NA,"Other",6.62073965107352,NA,3.4,109,0.00344,-5.67228380759683,4.69134788222914,1.22377543162212,NA
12,NA,"Other",5.85936070647464,NA,3.7,109,0.00451,-5.40145812546755,4.69134788222914,1.30833281965018,NA
17,"Pharma","Other",5.85936070647464,4,3.2,109,0.00363,-5.61852263070538,4.69134788222914,1.16315080980568,1.38629436111989
31,"Healthcare","Other",4.83230575857184,17,4.1,109,0.00341,-5.68104298768671,4.69134788222914,1.41098697371026,2.83321334405622
17,"Engineering & Construction","Mumbai",5.85936070647464,14,4,109,0.00535,-5.23065871807422,4.69134788222914,1.38629436111989,2.63905732961526
13,"Real Estate","Other",5.85936070647464,2,4,109,0.00422,-5.46792015093422,4.69134788222914,1.38629436111989,0.693147180559945
22,"Other","Mumbai",NA,5,3.6,109,0.00797,-4.83207078618001,4.69134788222914,1.28093384546206,1.6094379124341
26,"Healthcare","Bangalore / Bengaluru",5.85936070647464,3,3.8,109,0.00447,-5.41036687035666,4.69134788222914,1.33500106673234,1.09861228866811
37,"IT Services & Consulting","Other",5.85936070647464,4,3.7,109,0.00848,-4.77004482917833,4.69134788222914,1.30833281965018,1.38629436111989
18,"Other","Other",4.83230575857184,3,3.7,109,0.012,-4.42284862919414,4.69134788222914,1.30833281965018,1.09861228866811
30,"Education & Training","Other",6.62073965107352,6,4,109,0.00396,-5.53151125371575,4.69134788222914,1.38629436111989,1.79175946922805
